ticker,companyshortname,startdatetime,epsestimate,epsactual
AAPL,Apple Inc.,7/28/2022,1.16,1.2
AAPL,Apple Inc.,4/28/2022,1.43,1.52
AAPL,Apple Inc.,1/27/2022,1.89,2.1
AAPL,Apple Inc.,10/28/2021,1.24,1.24
AAPL,Apple Inc.,7/27/2021,1.01,1.3
AAPL,Apple Inc.,4/28/2021,0.99,1.4
AAPL,Apple Inc.,1/27/2021,1.41,1.68
AAPL,Apple Inc.,10/29/2020,0.7,0.73
AAPL,Apple Inc.,7/30/2020,0.51,0.65
AAPL,Apple Inc.,4/30/2020,0.56,0.64
AAPL,Apple Inc.,1/28/2020,1.14,1.25
AAPL,Apple Inc.,10/30/2019,0.71,0.76
AAPL,Apple Inc.,7/30/2019,0.53,0.55
AAPL,Apple Inc.,4/30/2019,0.59,0.62
AAPL,Apple Inc.,1/29/2019,1.04,1.05
AAPL,Apple Inc.,11/1/2018,0.7,0.73
AAPL,Apple Inc.,7/31/2018,2.18,2.34
AAPL,Apple Inc.,5/1/2018,2.67,2.73
AAPL,Apple Inc.,2/1/2018,3.86,3.89
AAPL,Apple Inc.,11/2/2017,1.87,2.07
AAPL,Apple Inc.,8/1/2017,1.57,1.67
AAPL,Apple Inc.,5/2/2017,2.02,2.1
AAPL,Apple Inc.,1/31/2017,3.21,3.36
AAPL,Apple Inc.,10/25/2016,1.66,1.67
AAPL,Apple Inc.,7/26/2016,1.38,1.42
AAPL,Apple Inc.,4/26/2016,2,1.9
AAPL,Apple Inc.,1/26/2016,3.23,3.28
AAPL,Apple Inc.,10/27/2015,1.88,1.96
AAPL,Apple Inc.,7/21/2015,1.81,1.85
AAPL,Apple Inc.,4/27/2015,2.16,2.33
AAPL,Apple Inc.,1/27/2015,2.6,3.06
AAPL,Apple Inc.,10/20/2014,1.31,1.42
AAPL,Apple Inc.,7/22/2014,1.23,1.28
AAPL,Apple Inc.,4/23/2014,1.46,1.66
AAPL,Apple Inc.,1/27/2014,2.01,2.07
AAPL,Apple Inc.,10/28/2013,1.14,1.18
AAPL,Apple Inc.,7/23/2013,1.05,1.07
AAPL,Apple Inc.,4/23/2013,1.43,1.44
AAPL,Apple Inc.,1/23/2013,1.92,1.97
AAPL,Apple Inc.,10/25/2012,1.25,1.24
AAPL,Apple Inc.,7/24/2012,1.48,1.33
AAPL,Apple Inc.,4/24/2012,1.43,1.76
AAPL,Apple Inc.,1/24/2012,1.45,1.98
AAPL,Apple Inc.,10/18/2011,1.06,1.01
AAPL,Apple Inc.,7/19/2011,0.83,1.11
AAPL,Apple Inc.,4/20/2011,0.77,0.91
AAPL,Apple Inc.,1/18/2011,0.77,0.92
AAPL,Apple Inc.,10/18/2010,0.58,0.66
AAPL,Apple Inc.,7/20/2010,0.44,0.5
AAPL,Apple Inc.,4/20/2010,0.35,0.48
AAPL,Apple Inc.,1/25/2010,0.3,0.52
AAPL,Apple Inc.,10/19/2009,0.2,0.26
AAPL,Apple Inc.,7/21/2009,0.17,0.19
AAPL,Apple Inc.,4/22/2009,0.16,0.19
AAPL,Apple Inc.,1/21/2009,0.2,0.25
AAPL,Apple Inc.,10/21/2008,0.16,0.18
AAPL,Apple Inc.,7/21/2008,0.15,0.17
AAPL,Apple Inc.,4/23/2008,0.15,0.17
AAPL,Apple Inc.,1/22/2008,0.23,0.25
AAPL,Apple Inc.,10/22/2007,0.12,0.14
AAPL,Apple Inc.,7/25/2007,0.1,0.13
AAPL,Apple Inc.,4/25/2007,0.09,0.12
AAPL,Apple Inc.,1/17/2007,0.11,0.16
AAPL,Apple Inc.,10/18/2006,0.07,0.09
AAPL,Apple Inc.,7/19/2006,0.06,0.08
AAPL,Apple Inc.,4/19/2006,0.06,0.07
AAPL,Apple Inc.,1/18/2006,0.09,0.09
AAPL,Apple Inc.,10/11/2005,0.05,0.05
AAPL,Apple Inc.,7/13/2005,0.04,0.05
AAPL,Apple Inc.,4/13/2005,0.03,0.05
AAPL,Apple Inc.,1/12/2005,0.03,0.05
AAPL,Apple Inc.,10/13/2004,0.01,0.02
AAPL,Apple Inc.,7/14/2004,0.01,0.01
AAPL,Apple Inc.,4/14/2004,0.01,0.01
AAPL,Apple Inc.,1/14/2004,0.01,0.01
AAPL,Apple Inc.,10/15/2003,0,0.01
AAPL,Apple Inc.,7/16/2003,0,0
AAPL,Apple Inc.,4/16/2003,0,0
AAPL,Apple Inc.,1/15/2003,0,0
AAPL,Apple Inc.,10/16/2002,0,0
AAPL,Apple Inc.,7/16/2002,0.01,0.01
AAPL,Apple Inc.,1/16/2002,0.01,0.01
AAPL,Apple Inc.,4/18/2001,0,0.01
AAPL,Apple Inc.,10/18/2000,0.01,0.01
AAPL,Apple Inc.,7/18/2000,0.03,0.03
AAPL,Apple Inc.,4/19/2000,0.03,0.03
AAPL,Apple Inc.,1/19/2000,0.03,0.04
AAPL,Apple Inc.,10/13/1999,0.02,0.02
AAPL,Apple Inc.,7/14/1999,0.02,0.02
AAPL,Apple Inc.,4/14/1999,0.02,0.02
AAPL,Apple Inc.,1/13/1999,0.02,0.03
AAPL,Apple Inc.,10/14/1998,0.02,0.02
AAPL,Apple Inc.,7/15/1998,0.01,0.02
AAPL,Apple Inc.,4/15/1998,0.01,0.01
AAPL,Apple Inc.,1/14/1998,0.01,0.01
